"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Potato","Thrippunithura  Kerala","Potato","1 Tonnes","3400.00","3000.00 / 4000.00"
"Brinjal","Lakhimpur  Uttar Pradesh","Round/Long","3.5 Tonnes","1180.00","1120.00 / 1230.00"
"Chana","Choubepur  Uttar Pradesh","Desi (Whole)","1.6 Tonnes","4980.00","4930.00 / 5045.00"
"Bottle Gourd","Badayoun  Uttar Pradesh","Bottle Gourd","3.6 Tonnes","1025.00","1000.00 / 1100.00"
"Pumpkins","Jhansi  Uttar Pradesh","Pumpkin","3.2 Tonnes","1585.00","1530.00 /  1625.00"
"Tomato","Badayoun  Uttar Pradesh","Deshi","7 Tonnes","925.00","840.00 / 980.00"
"Cauliflower","Nautnava  Uttar Pradesh","Cauliflower","0.1 Tonnes","560.00","500.00 / 600.00"
"Tomato","Chamkaur Sahib  Punjab","Other","0.9 Tonnes","2150.00","2100.00 / 2200.00"
"Onion","Mawana  Uttar Pradesh","Red","1 Tonnes","3750.00","3670.00 / 3850.00"
"Kinnow","Gurgaon  Haryana","Other","8.5 Tonnes","1250.00","1000.00 / 1500.00"
"Bitter Gourd","Udaipur(F&V)  Rajasthan","Other","0.5 Tonnes","3000.00","2500.00 / 3500.00"
"Cauliflower","Chelakkara  Kerala","Other","0.21 Tonnes","4600.00","4500.00 / 4800.00"
"Ridge gourd","Ramanagara  Karnataka","Ridgeguard(Tori)","1 Tonnes","2200.00","2000.00 / 2500.00"
"Potato","Chhachrauli  Haryana","Potato","0.45 Tonnes","600.00","600.00 / 600.00"
"Onion","Jhansi  Uttar Pradesh","Red","22.5 Tonnes","2000.00","1950.00 / 2100.00"
"Bitter Gourd","Perambra  Kerala","Other","0.2 Tonnes","4200.00","4100.00 / 4200.00"
"Carrot","Tamkuhi Road  Uttar Pradesh","Carrot","1 Tonnes","1425.00","1400.00 / 1450.00"
"Pumpkins","Kathua  Jammu and Kashmir","Other","2.3 Tonnes","1300.00","1200.00 / 1400.00"
"Onion","Kangra(Nagrota Bagwan)  Himachal Pradesh","1st Sort","0.3 Tonnes","4500.00","4400.00 / 4600.00"
"Coconut","Muthur  Tamil Nadu","Coconut","NR","3469.00","2516.00 / 3685.00"
"Brinjal","Kantabaji  Odisha","Other","0.04 Tonnes","3000.00","2000.00 / 3000.00"
"Onion","Haridwar Union  Uttarakhand","Other","17.8 Tonnes","3700.00","3500.00 / 4000.00"
"Garlic","Nautnava  Uttar Pradesh","Garlic","3 Tonnes","2350.00","2300.00  / 2400.00"
"Wheat","Khategaon  Madhya Pradesh","Other","315.5 Tonnes","1690.00","1500.00 / 1820.00"
"Grapes","Barnala  Punjab","Other","1.37 Tonnes","6650.00","3700.00 / 9600.00"
"Potato","Gopiganj  Uttar Pradesh","Potato","77 Tonnes","600.00","600.00 / 600.00"
"Apple","Lakhimpur  Uttar Pradesh","Simla","4 Tonnes","7150.00","7100.00 / 7210.00"
"Maize","Beawar  Rajasthan","Other","3 Tonnes","1500.00","1300.00 / 1700.00"
"Banana","Vilthararoad  Uttar Pradesh","Medium","10 Tonnes","1850.00","1800.00 / 1900.00"
"Cauliflower","Chengannur  Kerala","Other","0.4 Tonnes","4000.00","3800.00 / 4100.00"
"Bhindi","Neyyatinkara  Kerala","Bhindi","0.1 Tonnes","3400.00","3300.00 / 3500.00"
"Mango","Harippad  Kerala","Other","0.67 Tonnes","3000.00","3000.00 / 3500.00"
"Tomato","Neyyatinkara  Kerala","Tomato","0.1 Tonnes","3800.00","3600.00 / 4000.00"
"Gur","Jhansi  Uttar Pradesh","Red","28 Tonnes","3025.00","2970.00 / 3070.00"
"Carrot","Bhagta Bhai Ka  Punjab","Other","0.1 Tonnes","780.00","780.00 / 780.00"
"Carrot","Banga  Punjab","Carrot","4.1 Tonnes","800.00","700.00 / 1020.00"
"Beetroot","Ramanagara  Karnataka","Beetroot","1 Tonnes","2800.00","2400.00 / 3200.00"
"Wheat","Dhrol  Gujarat","Other","8.9 Tonnes","1545.00","1250.00 / 1840.00"
"Gur","Shahpur  Uttar Pradesh","Yellow","37 Tonnes","2200.00","2150.00 / 2250.00"
"Pumpkins","Barnala  Punjab","Other","0.26 Tonnes","600.00","500.00 / 700.00"
"Bhindi","Kantabaji  Odisha","Other","0.07 Tonnes","5000.00","4000.00 / 5000.00"
"Turmeric","Erode  Tamil Nadu","Bulb","63.21 Tonnes","7715.00","7485.00 / 7945.00"
"Tomato","Rajasamand  Rajasthan","Tomato","2.5 Tonnes","900.00","800.00 / 1000.00"
"Papaya","Shahpur  Uttar Pradesh","Papaya","0.8 Tonnes","550.00","540.00 / 560.00"
"Cucumber","Mawana  Uttar Pradesh","Cucumbar","0.06 Tonnes","1415.00","1370.00 / 1550.00"
"Onion","Khunthabandha  Odisha","Other","0.1 Tonnes","5000.00","4500.00 / 5000.00"
"Potato","Tikonia  Uttar Pradesh","Potato","1 Tonnes","630.00","620.00 / 630.00"
"Rice","Badayoun  Uttar Pradesh","III","11 Tonnes","2370.00","2340.00 / 2410.00"
"Garlic","Jhansi  Uttar Pradesh","Garlic","4 Tonnes","6880.00","6780.00 / 6980.00"
"Potato","Jhansi  Uttar Pradesh","Desi","196 Tonnes","570.00","520.00 / 610.00"
"Bhindi","Perambra  Kerala","Other","0.2 Tonnes","4500.00","4400.00 / 4600.00"
"Cauliflower","Aralamoodu  Kerala","Cauliflower","0.2 Tonnes","5000.00","5000.00 / 5000.00"
"Brinjal","Gondal(Veg.market Gondal)  Gujarat","Brinjal","6.18 Tonnes","700.00","400.00 / 1000.00"
"Cauliflower","Ashahipora (Anantnagh)  Jammu and Kashmir","Other","0.7 Tonnes","2400.00","2200.00 / 2600.00"
"Cucumber","Teliamura  Tripura","Cucumbar","0.5 Tonnes","3200.00","3000.00 / 3500.00"
"Gur","Nautnava  Uttar Pradesh","Red","0.2 Tonnes","3050.00","3000.00 / 3100.00"
"Potato","Viswan  Uttar Pradesh","Desi","3 Tonnes","610.00","560.00 / 700.00"
"Cucumber","Palayam  Kerala","Other","20 Tonnes","1000.00","900.00 / 1100.00"
"Mustard","Badayoun  Uttar Pradesh","Sarson(Black)","3.4 Tonnes","4630.00","4600.00 / 4670.00"
"Green Peas","Mawana  Uttar Pradesh","Green Peas","0.8 Tonnes","1300.00","1250.00 / 1450.00"
"Drumstick","Neyyatinkara  Kerala","Drumstick","0.1 Tonnes","6400.00","6300.00 / 6500.00"
"Cotton","Rajpipla  Gujarat","Cotton (Unginned)","35 Tonnes","5275.00","4300.00 / 5880.00"
"Cauliflower","Tamkuhi Road  Uttar Pradesh","Cauliflower","2 Tonnes","935.00","900.00 / 950.00"
"Carrot","Tanda(Rampur)  Uttar Pradesh","Carrot","0.7 Tonnes","505.00","500.00 / 510.00"
"Sesame","Gangapurcity(Old Lal mandi)  Rajasthan","Other","7.8 Tonnes","7950.00","7650.00 / 8250.00"
"Garlic","Choubepur  Uttar Pradesh","Desi","1 Tonnes","7400.00","7360.00 / 7450.00"
"Carrot","Thrippunithura  Kerala","Carrot","0.5 Tonnes","4000.00","3500.00 / 4500.00"
"Bitter Gourd","Udaipur(F&V)  Rajasthan","Other","0.5 Tonnes","3000.00","2500.00 / 3500.00"
"Onion","Barnala  Punjab","Other","23.61 Tonnes","3250.00","2600.00 / 3900.00"
"Papaya","Badayoun  Uttar Pradesh","Papaya","6 Tonnes","1780.00","1730.00 / 1830.00"
"Tomato","Padra  Gujarat","Other","3.3 Tonnes","750.00","600.00 / 900.00"
"Ash Gourd","Harippad  Kerala","Other","0.66 Tonnes","2000.00","2000.00 / 2500.00"
"Apple","Kangra(Baijnath)  Himachal Pradesh","Apple","0.1 Tonnes","10000.00","9000.00 / 10000.00"
"Paddy","Usilampatty  Tamil Nadu","Ponni","NR","2050.00","2000.00 / 2100.00"
"Onion","Chengannur  Kerala","Onion","1.75 Tonnes","5000.00","4800.00 / 5100.00"
"Cucumber","Nahan  Himachal Pradesh","Other","0.1 Tonnes","2250.00","2000.00 / 2500.00"
"Bajra","Badayoun  Uttar Pradesh","Deshi","2.1 Tonnes","1390.00","1350.00 / 1430.00"
"Lemon","Gondal(Veg.market Gondal)  Gujarat","Other","1.35 Tonnes","3500.00","2000.00 / 5000.00"
"Barley","Choubepur  Uttar Pradesh","Dara","1.4 Tonnes","1675.00","1625.00 / 1730.00"
"Tomato","Chamkaur Sahib  Punjab","Other","0.9 Tonnes","2150.00","2100.00 / 2200.00"
"Potato","Safdarganj  Uttar Pradesh","Desi","0.8 Tonnes","630.00","600.00 / 650.00"
"Potato","Bhogpur  Punjab","Other","0.6 Tonnes","700.00","700.00 / 700.00"
"Bajra","Sujangarh(Churu)  Rajasthan","Other","2 Tonnes","1100.00","1100.00 / 1100.00"
"Coconut","Pudupalayam  Tamil Nadu","Coconut","NR","3400.00","3300.00 / 3500.00"
"Apple","Jhansi  Uttar Pradesh","Delicious","3.2 Tonnes","6730.00","6680.00 / 6890.00"
"Cauliflower","Safdarganj  Uttar Pradesh","Cauliflower","0.5 Tonnes","520.00","500.00 / 550.00"
"Bottle Gourd","Shadabad  Uttar Pradesh","Bottle Gourd","0.6 Tonnes","880.00","780.00 / 980.00"
"Brinjal","Safdarganj  Uttar Pradesh","Brinjal","0.5 Tonnes","1230.00","1200.00 / 1260.00"
"Brinjal","Tamkuhi Road  Uttar Pradesh","Brinjal","1 Tonnes","635.00","600.00 / 660.00"
"Cabbage","Chengannur  Kerala","Other","1.5 Tonnes","2500.00","2400.00 / 2650.00"
"Pumpkins","Jhansi  Uttar Pradesh","Pumpkin","3.2 Tonnes","1585.00","1530.00 / 1625.00"
"Tomato","Jhansi  Uttar Pradesh","Deshi","16 Tonnes","555.00","500.00 / 600.00"
"Apple","Nabha  Punjab","Other","2.2 Tonnes","8100.00","4800.00 / 10500.00"
"Potato","Palayam  Kerala","Other","50 Tonnes","1800.00","1700.00 / 1900.00"
"Potato","Mawana  Uttar Pradesh","Desi","16 Tonnes","750.00","700.00  / 850.00"
"Ash Gourd","Chelakkara  Kerala","Other","0.2 Tonnes","1700.00","1600.00 / 1800.00"
"Tomato","Harippad  Kerala","Other","0.58 Tonnes","2500.00","2500.00 / 3000.00"
"Onion","Badayoun  Uttar Pradesh","Nasik","15 Tonnes","2800.00","2750.00 / 2900.00"
"Bottle Gourd","Mawana  Uttar Pradesh","Bottle Gourd","1 Tonnes","1055.00","1000.00 / 1150.00"
"Cauliflower","Padra  Gujarat","Other","1.4 Tonnes","1650.00","1500.00 / 1800.00"
"Bhindi","Perambra  Kerala","Other","0.2 Tonnes","4500.00","4400.00 / 4600.00"
"Banana","Rajpipla  Gujarat","Other","47.5 Tonnes","800.00","500.00 / 1000.00"
"Tomato","Teliamura  Tripura","Hybrid","0.5 Tonnes","2800.00","2500.00 / 3000.00"
"Bajra","Jambusar  Gujarat","Other","0.1 Tonnes","1650.00","1550.00 / 1750.00"
"Mango","Harippad  Kerala","Other","0.67 Tonnes","3000.00","3000.00 / 3500.00"
"Cabbage","Damnagar  Gujarat","Cabbage","0.05 Tonnes","300.00","200.00 / 400.00"
"Potato","Hargaon (Laharpur)  Uttar Pradesh","Local","3 Tonnes","650.00","600.00 / 700.00"
"Cauliflower","Phillaur(Apra Mandi)  Punjab","Other","0.4 Tonnes","400.00","300.00 / 500.00"
"Brinjal","Kangra(Nagrota Bagwan)  Himachal Pradesh","Arkasheela Mattigulla","0.1 Tonnes","1550.00","1500.00 / 1600.00"
"Drumstick","Neyyatinkara  Kerala","Drumstick","0.1 Tonnes","6400.00","6300.00 / 6500.00"
"Copra","Udumalpet  Tamil Nadu","other","NR","12000.00","11200.00 / 12800.00"
"Banana","Kangra  Himachal Pradesh","Other","1.6 Tonnes","3250.00","3000.00 / 3500.00"
"Paddy","Thiruvarur  Tamil Nadu","B P T","0.01 Tonnes","1450.00","1350.00 / 1650.00"
"Potato","Chelakkara  Kerala","Other","0.21 Tonnes","3300.00","3200.00 / 3400.00"
"Gur","Safdarganj  Uttar Pradesh","Yellow","0.5 Tonnes","3220.00","3200.00 / 3240.00"
"Cotton","Dhoraji  Gujarat","H.B (Unginned)","6.6 Tonnes","5905.00","5230.00 / 6255.00"
"Tomato","Perambra  Kerala","Tomato","2 Tonnes","2200.00","2100.00 / 2300.00"
"Cucumber","Palayam  Kerala","Other","20 Tonnes","1000.00","900.00 / 1100.00"
"Pumpkins","Kathua  Jammu and Kashmir","Other","2.3 Tonnes","1300.00","1200.00 / 1400.00"
"Potato","Chamkaur Sahib  Punjab","Other","4.5 Tonnes","350.00","300.00 / 400.00"
"Tomato","Pali  Rajasthan","Other","15.47 Tonnes","900.00","800.00 / 1000.00"
"Bajra","Choubepur  Uttar Pradesh","Deshi","2.2 Tonnes","1370.00","1320.00 / 1420.00"
"Ash Gourd","Chelakkara  Kerala","Other","0.2 Tonnes","1700.00","1600.00 / 1800.00"
"Cauliflower","Teliamura  Tripura","Cauliflower","1 Tonnes","2200.00","2000.00 / 2500.00"
"Onion","Hindol  Odisha","Other","2.5 Tonnes","4500.00","4400.00 / 4600.00"
"Beetroot","Harippad  Kerala","Other","0.66 Tonnes","3000.00","3000.00 / 3500.00"
"Pumpkins","Jhansi  Uttar Pradesh","Pumpkin","3.2 Tonnes","1585.00","1530.00 / 1625.00"
"Beetroot","Perambra  Kerala","Other","0.2 Tonnes","5000.00","4900.00 / 5200.00"
"Wheat","Sikandraraau  Uttar Pradesh","Dara","5 Tonnes","1645.00","1615.00 / 1675.00"
"Guar","Udaipur(F&V)  Rajasthan","Other","0.1 Tonnes","4000.00","4000.00 / 4000.00"
"Paddy","Salon  Uttar Pradesh","Common","15 Tonnes","1868.00","1868.00  / 1868.00"
"Elephantyam","Chelakkara  Kerala","Other","0.2 Tonnes","1900.00","1800.00 / 2000.00"
"Tomato","Banga  Punjab","Other","2.6 Tonnes","1873.00","1300.00 / 2100.00"
